"slice_pos","pi_slice","id","league_id","league_name","league_abbreviation","season_id","season_name","game_id","game_slug","home_team_id","home_team_name","home_team_location","home_team_nickname","home_team_abbreviation","away_team_id","away_team_name","away_team_location","away_team_nickname","away_team_abbreviation","interval_type","inning","clock_seconds","inning_half","home_team_score","away_team_score","total_score","home_away_score_pair","away_home_score_pair","home_team_outcome","away_team_outcome","is_over","started_at","home_team_final_score","away_team_final_score","venue_name","r"
1,"14","8bfef3c3-cf11-40bc-9283-9b2ee5fa9539","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","7ea08903-9be4-4303-b934-784a24ac2b2b","mlb-2018-chc-phi-2018-09-1-1905","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",6,0,"top",1,4,5,"14","41","loss","win",FALSE,"2018-09-02 04:05:00+00",1,7,"Citizens Bank Park",1
2,"15","a4699fea-730c-4ddc-96e2-21658bb59e0d","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","ccd197e1-9cdd-4c7e-b2cb-a2638d56120b","mlb-2018-tex-min-2018-06-22-1910","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","regularseason",9,0,"top",1,5,6,"15","51","loss","win",FALSE,"2018-06-23 05:10:00+00",1,8,"Target Field",1
3,"92","94fdae73-bd0c-4aec-8859-0016d45903ec","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","ca947a5f-4d9f-4dfe-8710-19a231185943","mlb-2018-chw-chc-2018-05-11-1320","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",7,30,"bottom",9,2,11,"92","29","win","loss",FALSE,"2018-05-11 23:20:00+00",11,2,"Wrigley Field",1
4,"65","c2636d52-591f-4056-96e9-792f6e8ee1de","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","6702b15c-00d8-45e6-9372-7e5597459ec9","mlb-2018-chc-mia-2018-03-31-1910","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",7,30,"bottom",5,6,11,"56","65","loss","win",FALSE,"2018-04-01 04:10:00+00",6,10,"Marlins Park",1
5,"35","bd4aa546-2c13-4866-826e-bfaff3e07eb3","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","de9afd7c-d800-403b-8d98-0c9244aff95f","mlb-2017-kc-min-2017-04-6-1210","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","regularseason",9,0,"top",5,3,8,"53","35","win","loss",FALSE,"2017-04-06 22:10:00+00",5,3,"Target Field",1
6,"89","cc872f88-6d9f-44b5-b426-3fea7086f5d6","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","cc872f88-6d9f-44b5-b426-3fea7086f5d6","mlb-2018-cle-min-2018-05-31-1910","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","regularseason",9,30,"end",8,9,17,"89","98","loss","win",TRUE,"2018-06-01 05:10:00+00",8,9,"Target Field",1
7,"79","f2e6221f-8097-466a-a372-daa755c97d4e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","81d026c3-1c36-45de-b91d-82a925bd9a35","mlb-2018-la-stl-2018-09-13-1815","26345a1d-a856-48be-a53b-262367b5437e","St. Louis","St. Louis","Cardinals","STL","f53d7ed3-1ebe-4e02-979d-6e51c0f5fb18","LA Dodgers","Los Angeles","Dodgers","LA","regularseason",9,30,"bottom",7,9,16,"79","97","loss","win",FALSE,"2018-09-14 04:15:00+00",7,9,"Busch Stadium",1
8,"32","e699b25f-0d68-4441-b411-f87d40719dd4","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","33583c51-bf51-4b3c-ae26-a6f7471f1e27","mlb-2017-was-atl-2017-05-20-1610","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","Atlanta","Atlanta","Braves","ATL","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","Washington","Washington","Nationals","WAS","regularseason",5,0,"top",3,2,5,"32","23","win","loss",FALSE,"2017-05-21 01:10:00+00",5,2,"SunTrust Park",1
9,"38","17a81d62-cc10-44f3-b614-c0fb589fbf6b","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","1b78b868-0b52-4e79-85d2-15ed3c3c7593","mlb-2018-tb-tor-2018-09-21-1907","2863bb0d-90f6-4ae2-93ca-e89cda3255ee","Toronto","Toronto","Blue Jays","TOR","6fb020e3-2ac1-409f-a1d0-5b081ef349a4","Tampa Bay","Tampa Bay","Rays","TB","regularseason",6,30,"bottom",3,8,11,"38","83","loss","win",FALSE,"2018-09-22 04:07:00+00",3,11,"Rogers Centre",1
10,"46","26ab6a68-d9d2-4ff3-8e43-37ea440cb0a6","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","be9eb53a-e4b9-4d52-bc63-7d73bfb672a0","mlb-2018-tex-oak-2018-09-8-1305","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","regularseason",7,30,"bottom",6,4,10,"64","46","win","loss",FALSE,"2018-09-09 01:05:00+00",8,6,"Oakland-Alameda County Coliseum",1
11,"26","29a70b21-1589-457d-a3fe-500b89853dca","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","18941659-df69-46ef-b0b3-ff9d28db9413","mlb-2017-oak-tb-2017-06-10-1640","6fb020e3-2ac1-409f-a1d0-5b081ef349a4","Tampa Bay","Tampa Bay","Rays","TB","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","regularseason",8,30,"bottom",2,6,8,"26","62","loss","win",FALSE,"2017-06-11 03:50:00+00",2,7,"Tropicana Field",1
12,"43","a5510d6c-392a-416a-af87-58b36c068d9f","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","e56e537f-c7d5-4441-b20b-57ba63c6227f","mlb-2018-chw-kc-2018-03-31-1815","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",9,30,"bottom",3,4,7,"34","43","loss","win",FALSE,"2018-04-01 04:15:00+00",3,4,"Kauffman Stadium",1
13,"38","9c2e5206-4256-4aab-9de5-3452a863e5fd","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","9c2e5206-4256-4aab-9de5-3452a863e5fd","mlb-2018-mil-pit-2018-09-21-1905","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","d6c517b0-78de-4834-8d36-b6e63b3224ee","Milwaukee","Milwaukee","Brewers","MIL","regularseason",9,30,"end",3,8,11,"38","83","loss","win",TRUE,"2018-09-22 04:05:00+00",3,8,"PNC Park",1
14,"32","c58e1193-9964-43ac-b4a3-09da6324443e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","2a66fa42-0a00-4612-ab7e-f6201eef20a8","mlb-2018-bal-sea-2018-09-5-1910","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","4745e78b-83e2-4296-ae11-d1330e665667","Baltimore","Baltimore","Orioles","BAL","regularseason",7,0,"top",3,2,5,"32","23","win","loss",FALSE,"2018-09-06 07:10:00+00",5,2,"T-Mobile Park",1
15,"79","b418b7f1-5702-4eee-9f66-e7cb34c038df","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","e9cf0f13-bf7f-4804-aef9-73130db70aad","mlb-2017-nym-atl-2017-05-2-1935","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","Atlanta","Atlanta","Braves","ATL","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","NY Mets","New York","Mets","NYM","regularseason",9,0,"top",9,7,16,"97","79","win","loss",FALSE,"2017-05-03 04:35:00+00",9,7,"SunTrust Park",1
16,"50","cb1e2079-9bd5-46b9-9da4-a2ec83a04318","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","ca9e00c1-697b-41e1-894d-dfb3cbc93eec","mlb-2017-laa-oak-2017-04-5-1905","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","e21a2701-cd76-4589-ac85-6a71e7c53252","LA Angels","Los Angeles","Angels","LAA","regularseason",9,30,"bottom",0,5,5,"05","50","loss","win",FALSE,"2017-04-06 07:05:00+00",0,5,"Oakland-Alameda County Coliseum",1
17,"28","cc9c1363-b7e0-40b7-95e6-abbf353770cd","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","030f71ea-76d9-4ba4-bf5d-a8a52f2e4577","mlb-2018-chw-tex-2018-07-1-1405","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",8,0,"top",2,8,10,"28","82","loss","win",FALSE,"2018-07-02 00:05:00+00",5,10,"Globe Life Park in Arlington",1
18,"84","c04a965f-5945-4abd-a9c3-d37f211eb58d","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","5f1c52ef-445f-4ace-b3fb-ed5a7f510f0a","mlb-2017-mia-sea-2017-04-19-1240","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","regularseason",6,30,"bottom",8,4,12,"84","48","win","loss",FALSE,"2017-04-20 00:40:00+00",10,5,"T-Mobile Park",1
19,"19","c46bcd78-c13c-41b1-95db-1a041b455c61","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","f26f444e-44ba-49e6-9dce-370abd205793","mlb-2017-tex-oak-2017-04-19-1235","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","regularseason",9,0,"top",9,1,10,"91","19","win","loss",FALSE,"2017-04-20 00:35:00+00",9,1,"Oakland-Alameda County Coliseum",1
20,"71","205e8f57-37a9-4066-b9b6-312bf6d3ba7a","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","701c271b-0e43-4868-9641-f43add0fd86a","mlb-2018-sea-tex-2018-09-21-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","regularseason",6,0,"top",7,1,8,"71","17","win","loss",FALSE,"2018-09-22 05:05:00+00",8,3,"Globe Life Park in Arlington",1
21,"69","b72a82b1-d767-44d7-bd46-1c8c775d4dee","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","87c3bac2-fa04-4c3c-9703-7a829656848a","mlb-2018-mil-col-2018-05-11-1840","0220ab72-3a17-4a65-8872-72454aeb828d","Colorado","Colorado","Rockies","COL","d6c517b0-78de-4834-8d36-b6e63b3224ee","Milwaukee","Milwaukee","Brewers","MIL","regularseason",6,0,"top",9,6,15,"96","69","loss","win",FALSE,"2018-05-12 05:40:00+00",10,11,"Coors Field",1
22,"39","4c92d92b-5c61-4c11-8011-6fa5d00b1fcb","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","c85d1b42-c611-4a2c-88a3-4468b88acb57","mlb-2017-chc-cin-2017-08-23-1910","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",9,30,"bottom",3,9,12,"39","93","loss","win",FALSE,"2017-08-24 04:10:00+00",3,9,"Great American Ball Park",1
23,"93","8c6aded4-dc5c-4046-b294-da3295b37b8d","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","8c6aded4-dc5c-4046-b294-da3295b37b8d","mlb-2017-phi-tex-2017-05-17-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","regularseason",9,0,"end",9,3,12,"93","39","win","loss",TRUE,"2017-05-18 05:05:00+00",9,3,"Globe Life Park in Arlington",1
24,"75","57f3d55b-007c-4e53-bccc-02aff6898cc8","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","4ec13e89-46b4-47ee-9d35-44ad5b330ab9","mlb-2018-chw-cle-2018-05-28-1610","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",5,30,"bottom",7,5,12,"75","57","win","loss",FALSE,"2018-05-29 01:10:00+00",9,6,"Progressive Field",1
25,"10","2c5ff700-fe12-41da-abc3-9a8e5cd251f3","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","df471d03-8f6a-4130-8358-34d0867f211d","mlb-2017-stl-la-2017-05-23-1910","f53d7ed3-1ebe-4e02-979d-6e51c0f5fb18","LA Dodgers","Los Angeles","Dodgers","LA","26345a1d-a856-48be-a53b-262367b5437e","St. Louis","St. Louis","Cardinals","STL","regularseason",7,30,"bottom",1,0,1,"10","01","win","loss",FALSE,"2017-05-24 07:10:00+00",2,1,"Dodger Stadium",1
26,"58","2306c477-f2e2-4223-bedd-2a918e771c7c","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","faacbe6a-d531-4f88-9b28-323842ad2ae3","mlb-2018-tor-tex-2018-04-6-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","2863bb0d-90f6-4ae2-93ca-e89cda3255ee","Toronto","Toronto","Blue Jays","TOR","regularseason",9,30,"bottom",5,8,13,"58","85","loss","win",FALSE,"2018-04-07 05:05:00+00",5,8,"Globe Life Park in Arlington",1
27,"20","a9e3df46-15c8-48f7-b407-e3256681e9dc","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","2c443acf-cff5-474e-816f-6f1d1c7061c8","mlb-2017-kc-laa-2017-06-18-1237","e21a2701-cd76-4589-ac85-6a71e7c53252","LA Angels","Los Angeles","Angels","LAA","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","regularseason",2,0,"top",2,0,2,"20","02","loss","win",FALSE,"2017-06-19 00:37:00+00",3,7,"Angel Stadium of Anaheim",1
28,"97","333471b5-6779-4a32-88e3-d80547553ab2","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","32becaeb-1d9d-4f9a-9f2f-0a638b44eb8c","mlb-2018-det-chw-2018-04-5-1510","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","9ab4bef1-ea26-456b-a018-bf2bde1f6599","Detroit","Detroit","Tigers","DET","regularseason",10,30,"bottom",7,9,16,"79","97","loss","win",FALSE,"2018-04-06 01:10:00+00",7,9,"Guaranteed Rate Field",1
29,"49","ea244566-b4e4-4e63-83c7-588ace76ef4a","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","a3e6ef87-26c6-4162-a87d-366576460827","mlb-2018-tex-sea-2018-09-28-1910","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","regularseason",4,30,"bottom",9,4,13,"94","49","win","loss",FALSE,"2018-09-29 07:10:00+00",12,6,"T-Mobile Park",1
30,"44","457c53df-6d8f-4f7e-a9ba-5897895ad850","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","4efc3faa-1a40-4eea-9c50-546b4ef9783f","mlb-2018-col-mil-2018-08-5-1310","d6c517b0-78de-4834-8d36-b6e63b3224ee","Milwaukee","Milwaukee","Brewers","MIL","0220ab72-3a17-4a65-8872-72454aeb828d","Colorado","Colorado","Rockies","COL","regularseason",10,0,"top",4,4,8,"44","44","loss","win",FALSE,"2018-08-05 23:10:00+00",4,5,"Miller Park",1
31,"59","f8131f11-9189-44ee-90e9-099e22685950","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","32c5b683-9b61-4bcb-bb8d-d44bd0c28a44","mlb-2017-pit-cin-2017-08-25-1910","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","regularseason",9,0,"top",9,5,14,"95","59","win","loss",FALSE,"2017-08-26 04:10:00+00",9,5,"Great American Ball Park",1
32,"23","c3e8dbb3-bc32-448e-b72a-b4653909f403","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","9a5dfdc1-a917-497b-a0e0-0bd25d752c6a","mlb-2017-sd-cin-2017-08-10-1235","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","418391e8-4725-420d-9303-bd1736c59d7a","San Diego","San Diego","Padres","SD","regularseason",6,30,"bottom",2,3,5,"23","32","win","loss",FALSE,"2017-08-10 21:35:00+00",10,3,"Great American Ball Park",1
33,"07","d5f1b575-d984-4dce-b7b2-5d8da5427d5f","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","6790431f-773a-4065-afd2-ed1960811bf5","mlb-2018-chc-pit-2018-05-28-1335","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",9,30,"bottom",0,7,7,"07","70","loss","win",FALSE,"2018-05-28 22:35:00+00",0,7,"PNC Park",1
34,"81","ed43eadd-3c08-43c5-9901-d8b8fb8d1d7a","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","ea6b3937-8424-4c16-ac73-0d8fa884a4b9","mlb-2018-sea-laa-2018-09-13-1907","e21a2701-cd76-4589-ac85-6a71e7c53252","LA Angels","Los Angeles","Angels","LAA","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","regularseason",9,30,"bottom",1,8,9,"18","81","loss","win",FALSE,"2018-09-14 07:07:00+00",2,8,"Angel Stadium of Anaheim",1
35,"64","cd919889-9987-4430-918b-1c779e3d8db4","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","7d0f6339-19ac-4600-92af-4fa9c4782a30","mlb-2017-min-det-2017-08-13-1310","9ab4bef1-ea26-456b-a018-bf2bde1f6599","Detroit","Detroit","Tigers","DET","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","regularseason",8,0,"top",4,6,10,"46","64","loss","win",FALSE,"2017-08-13 22:10:00+00",4,6,"Comerica Park",1
36,"06","58adbd57-a26e-423b-9d8b-97c95514ef0b","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","2cf03221-fe02-47ec-a7d6-55041eaf464d","mlb-2018-bos-nyy-2018-06-30-1915","a7768b3c-3700-41a8-b97d-4670e044d036","NY Yankees","New York","Yankees","NYY","4c2ad3df-a7fd-458d-a412-6e31574a0b7b","Boston","Boston","Red Sox","BOS","regularseason",2,30,"bottom",0,6,6,"06","60","loss","win",FALSE,"2018-07-01 04:15:00+00",0,11,"Yankee Stadium",1
37,"28","b982f290-aaa6-438a-a565-0c29ef4aebda","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","ad9c29d8-30a7-4b4f-829f-83166da822c8","mlb-2018-nym-col-2018-06-19-1840","0220ab72-3a17-4a65-8872-72454aeb828d","Colorado","Colorado","Rockies","COL","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","NY Mets","New York","Mets","NYM","regularseason",3,30,"bottom",8,2,10,"82","28","win","loss",FALSE,"2018-06-20 05:40:00+00",10,8,"Coors Field",1
38,"62","bf5e07ff-59fb-48fe-8e13-9f848c5a3e8f","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","999ff8e9-5122-43a3-a242-468f98bb8bee","mlb-2018-kc-min-2018-08-4-1810","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","regularseason",6,30,"bottom",6,2,8,"62","26","win","loss",FALSE,"2018-08-05 04:10:00+00",8,2,"Target Field",1
39,"08","482f9b87-7336-4642-818e-21ed74ec5186","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","ebd15664-fb1e-41a4-9ee4-73da27fbeac7","mlb-2018-bal-cle-2018-08-19-1310","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","4745e78b-83e2-4296-ae11-d1330e665667","Baltimore","Baltimore","Orioles","BAL","regularseason",6,30,"bottom",8,0,8,"80","08","win","loss",FALSE,"2018-08-19 22:10:00+00",8,0,"Progressive Field",1
40,"99","75e6d967-d724-42c5-9408-e19fc959b3ca","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","45149fe0-d7cb-476e-a1d7-64ae27437445","mlb-2017-sf-col-2017-06-15-1840","0220ab72-3a17-4a65-8872-72454aeb828d","Colorado","Colorado","Rockies","COL","6c498284-84e6-4e74-9f56-b934be3384d5","San Francisco","San Francisco","Giants","SF","regularseason",9,0,"top",9,9,18,"99","99","win","loss",FALSE,"2017-06-16 05:40:00+00",10,9,"Coors Field",1
41,"86","94035c0d-2283-4de0-98b5-5b0f2d389e86","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","95da494a-2b42-475b-b09e-e505ba2f45d5","mlb-2017-pit-chc-2017-04-15-1320","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","regularseason",7,30,"bottom",6,8,14,"68","86","loss","win",FALSE,"2017-04-15 23:20:00+00",7,8,"Wrigley Field",1
42,"28","eaec8fbd-4aab-41e9-8a6e-16530887bef7","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","eec2a6c8-a1d8-434b-9a92-3ff5328ba327","mlb-2018-laa-oak-2018-06-15-1835","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","e21a2701-cd76-4589-ac85-6a71e7c53252","LA Angels","Los Angeles","Angels","LAA","regularseason",8,0,"top",2,8,10,"28","82","loss","win",FALSE,"2018-06-16 06:35:00+00",4,8,"Oakland-Alameda County Coliseum",1
43,"03","76c4b703-e68b-452a-a60b-de8d3c51a4bc","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","0ba02db2-6b23-4049-be79-b146f0798168","mlb-2018-ari-sf-2018-08-29-1915","6c498284-84e6-4e74-9f56-b934be3384d5","San Francisco","San Francisco","Giants","SF","09dc1f54-cf05-4486-8135-80bb0090fde1","Arizona","Arizona","Diamondbacks","ARI","regularseason",8,0,"top",0,3,3,"03","30","loss","win",FALSE,"2018-08-30 07:15:00+00",1,3,"Oracle Park",1
