"slice_pos","pi_slice","id","league_id","league_name","league_abbreviation","season_id","season_name","game_id","game_slug","home_team_id","home_team_name","home_team_location","home_team_nickname","home_team_abbreviation","away_team_id","away_team_name","away_team_location","away_team_nickname","away_team_abbreviation","interval_type","inning","clock_seconds","inning_half","home_team_score","away_team_score","total_score","home_away_score_pair","away_home_score_pair","home_team_outcome","away_team_outcome","is_over","started_at","home_team_final_score","away_team_final_score","venue_name","r"
1173,"16","c9d0d083-3c30-4187-a37f-ec1e0014a10f","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","452b3d51-e8aa-4bea-9a2e-96bdd26fa3d1","mlb-2017-was-hou-2017-08-23-1910","1dbbb4a3-d8ca-42cb-829f-29551d482645","Houston","Houston","Astros","HOU","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","Washington","Washington","Nationals","WAS","regularseason",9,0,"top",6,1,7,"61","16","win","loss",FALSE,"2017-08-24 05:10:00+00",6,1,"Minute Maid Park",1
1174,"08","ca9d7fad-4335-42c5-bc57-6b7fbd2218f0","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","1c860864-9487-4434-9fd1-e9d7bd164cf0","mlb-2017-oak-min-2017-05-2-1910","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","regularseason",8,0,"top",8,0,8,"80","08","win","loss",FALSE,"2017-05-03 05:10:00+00",9,1,"Target Field",1
1175,"94","897bea8d-3436-45da-b01e-9ff89b16aa66","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","d837699c-ceab-445f-ab04-7f95b4c8ef8c","mlb-2017-phi-was-2017-09-8-1905","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","Washington","Washington","Nationals","WAS","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","regularseason",6,30,"bottom",9,4,13,"94","49","win","loss",FALSE,"2017-09-09 04:05:00+00",11,10,"Nationals Park",1
1176,"41","421866df-ca2b-4094-b93f-376787ae0335","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","36c4f073-cf3b-42f0-a0a3-c32d1297c573","mlb-2017-chc-pit-2017-04-24-1905","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",1,30,"bottom",1,4,5,"14","41","loss","win",FALSE,"2017-04-25 04:05:00+00",3,14,"PNC Park",1
1177,"69","0f9ece24-8693-4c47-a96a-1ce2113b4871","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","d843c66c-f183-4414-acaf-dbbc0312c530","mlb-2018-kc-min-2018-09-7-1910","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","regularseason",8,0,"top",9,6,15,"96","69","win","loss",FALSE,"2018-09-08 05:10:00+00",10,6,"Target Field",1
1178,"48","36485452-c233-4176-808d-6ac458456075","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","716d48c8-47a1-4d64-a927-9c15363e32a3","mlb-2018-stl-nym-2018-03-29-1310","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","NY Mets","New York","Mets","NYM","26345a1d-a856-48be-a53b-262367b5437e","St. Louis","St. Louis","Cardinals","STL","regularseason",6,30,"bottom",8,4,12,"84","48","win","loss",FALSE,"2018-03-29 22:10:00+00",9,4,"Citi Field",1
1179,"68","524bc8e7-4487-4dce-b9ce-609ff7e05a8c","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","f6dce256-646d-49e7-bbcd-537b60701470","mlb-2018-cle-tex-2018-07-20-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","regularseason",9,0,"top",6,8,14,"68","86","loss","win",FALSE,"2018-07-21 05:05:00+00",8,9,"Globe Life Park in Arlington",1
1180,"55","deb9bb07-bfb2-48f9-a9ff-7ae584239287","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","193a069e-4850-45b0-b42c-5a1be6fc80f1","mlb-2017-la-pit-2017-08-22-1905","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","f53d7ed3-1ebe-4e02-979d-6e51c0f5fb18","LA Dodgers","Los Angeles","Dodgers","LA","regularseason",5,30,"bottom",5,5,10,"55","55","loss","win",FALSE,"2017-08-23 04:05:00+00",5,8,"PNC Park",1
1181,"58","69f95f9e-8450-4b6d-802a-31c58adc6946","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","6e1b1023-7a0f-4ac8-a7cc-9698a57b8b6e","mlb-2018-la-col-2018-08-9-1840","0220ab72-3a17-4a65-8872-72454aeb828d","Colorado","Colorado","Rockies","COL","f53d7ed3-1ebe-4e02-979d-6e51c0f5fb18","LA Dodgers","Los Angeles","Dodgers","LA","regularseason",9,30,"bottom",5,8,13,"58","85","loss","win",FALSE,"2018-08-10 05:40:00+00",5,8,"Coors Field",1
1182,"48","2786fbab-4567-4ec0-bba9-da88057bd3e9","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","508f7fd8-a4a0-4047-a60d-3e9e7f1eebb0","2016","2786fbab-4567-4ec0-bba9-da88057bd3e9","mlb-2016-chc-pit-2016-09-28-1905","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",9,0,"end",8,4,12,"84","48","win","loss",TRUE,"2016-09-29 04:05:00+00",8,4,"PNC Park",1
1183,"40","a4573c30-baa8-42da-af7b-05fc13cd0198","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","b96a53da-771e-479d-9894-be99a498d9fa","mlb-2018-mia-nyy-2018-04-17-1835","a7768b3c-3700-41a8-b97d-4670e044d036","NY Yankees","New York","Yankees","NYY","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","regularseason",2,30,"bottom",0,4,4,"04","40","loss","win",FALSE,"2018-04-18 03:35:00+00",1,9,"Yankee Stadium",1
1184,"63","40e6763f-7465-4461-8b3b-a2607884fa57","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","f0e6e33e-838b-4e68-b61d-3a6ed843a0a0","mlb-2017-min-det-2017-09-22-1910","9ab4bef1-ea26-456b-a018-bf2bde1f6599","Detroit","Detroit","Tigers","DET","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","regularseason",7,30,"bottom",3,6,9,"36","63","loss","win",FALSE,"2017-09-23 04:10:00+00",3,7,"Comerica Park",1
1185,"53","0ff9ff29-44d5-44af-85e5-158703bf7a94","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","02c1a1fc-0d6a-49b5-9b1c-c18dbdd66958","mlb-2017-mia-phi-2017-04-26-1905","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","regularseason",7,30,"bottom",5,3,8,"53","35","win","loss",FALSE,"2017-04-27 04:05:00+00",7,4,"Citizens Bank Park",1
1186,"42","dc485a00-5ef2-4829-8967-20f82251b8be","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","d341d803-632f-4ea9-a61b-c34e6b2810c7","mlb-2018-atl-nym-2018-08-2-1910","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","NY Mets","New York","Mets","NYM","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","Atlanta","Atlanta","Braves","ATL","regularseason",6,30,"bottom",2,4,6,"24","42","loss","win",FALSE,"2018-08-03 04:10:00+00",2,4,"Citi Field",1
1187,"20","c46ce57d-d348-4e2e-8fb3-24758ba1d2c0","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","05d83d05-d305-452f-968a-012166484997","mlb-2018-sd-mia-2018-06-8-1910","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","418391e8-4725-420d-9303-bd1736c59d7a","San Diego","San Diego","Padres","SD","regularseason",5,0,"top",2,0,2,"20","02","win","loss",FALSE,"2018-06-09 04:10:00+00",4,0,"Marlins Park",1
