"slice_pos","pi_slice","id","league_id","league_name","league_abbreviation","season_id","season_name","game_id","game_slug","home_team_id","home_team_name","home_team_location","home_team_nickname","home_team_abbreviation","away_team_id","away_team_name","away_team_location","away_team_nickname","away_team_abbreviation","interval_type","inning","clock_seconds","inning_half","home_team_score","away_team_score","total_score","home_away_score_pair","away_home_score_pair","home_team_outcome","away_team_outcome","is_over","started_at","home_team_final_score","away_team_final_score","r"
432,"38","a3f62a3d-7cdb-4d4e-a6ae-9bd79076622c","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","2dfda002-c612-4035-ba80-b4cb3fb6648b","mlb-2017-atl-hou-2017-05-9-1910","1dbbb4a3-d8ca-42cb-829f-29551d482645","Houston","Houston","Astros","HOU","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","Atlanta","Atlanta","Braves","ATL","regularseason",8,30,"bottom",8,3,11,"83","38","win","loss",FALSE,"2017-05-10 05:10:00+00",8,3,1
433,"75","5e22537a-9cb4-46a1-8c8d-5abfcdd2d8c2","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","3313ae15-5617-4bc8-b62e-c46513f30c08","mlb-2018-tor-tb-2018-09-28-1910","6fb020e3-2ac1-409f-a1d0-5b081ef349a4","Tampa Bay","Tampa Bay","Rays","TB","2863bb0d-90f6-4ae2-93ca-e89cda3255ee","Toronto","Toronto","Blue Jays","TOR","regularseason",8,0,"top",5,7,12,"57","75","loss","win",FALSE,"2018-09-29 04:10:00+00",6,7,1
434,"28","a12e3678-296d-4117-80c1-bb126a162b85","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","2158746f-c922-40ce-9357-c99af2702e18","mlb-2018-mia-stl-2018-06-6-1915","26345a1d-a856-48be-a53b-262367b5437e","St. Louis","St. Louis","Cardinals","STL","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","regularseason",6,30,"bottom",2,8,10,"28","82","loss","win",FALSE,"2018-06-07 05:15:00+00",3,11,1
435,"86","5446f379-acfd-437d-b929-5b70be9c0a84","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","508f7fd8-a4a0-4047-a60d-3e9e7f1eebb0","2016","2379367c-9e1d-4822-afc4-3e355386d429","mlb-2016-oak-laa-2016-09-28-1905","e21a2701-cd76-4589-ac85-6a71e7c53252","LA Angels","Los Angeles","Angels","LAA","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","regularseason",8,0,"top",8,6,14,"86","68","win","loss",FALSE,"2016-09-29 07:05:00+00",8,6,1
436,"58","285f4d26-075f-4c0f-b889-817212e5f0d4","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","874edb8b-ee7d-4cd4-891e-5b667446757d","mlb-2018-min-kc-2018-05-28-1815","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","regularseason",9,30,"bottom",5,8,13,"58","85","loss","win",FALSE,"2018-05-29 04:15:00+00",5,8,1
437,"75","f1150b7d-2cbf-45eb-b8c2-d868df278df5","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","f1150b7d-2cbf-45eb-b8c2-d868df278df5","mlb-2018-col-cin-2018-06-7-1235","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","0220ab72-3a17-4a65-8872-72454aeb828d","Colorado","Colorado","Rockies","COL","regularseason",13,30,"end",7,5,12,"75","57","win","loss",TRUE,"2018-06-07 21:35:00+00",7,5,1
438,"33","af2302ff-2e52-4d4e-90af-dbff21cde06e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","f9b35a81-c517-4648-8181-9af958b6646d","mlb-2017-tb-tor-2017-08-17-1607","2863bb0d-90f6-4ae2-93ca-e89cda3255ee","Toronto","Toronto","Blue Jays","TOR","6fb020e3-2ac1-409f-a1d0-5b081ef349a4","Tampa Bay","Tampa Bay","Rays","TB","regularseason",8,30,"bottom",3,3,6,"33","33","win","loss",FALSE,"2017-08-18 01:07:00+00",5,3,1
439,"20","3db6aa40-6867-47c8-b9d1-466f35c99f82","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","0eb31842-a5b9-4298-ae10-6e0e29ebc6a3","mlb-2017-min-bal-2017-05-23-1905","4745e78b-83e2-4296-ae11-d1330e665667","Baltimore","Baltimore","Orioles","BAL","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","regularseason",9,30,"bottom",0,2,2,"02","20","loss","win",FALSE,"2017-05-24 04:05:00+00",0,2,1
440,"83","075c8b23-6a9b-4229-b020-b3c5d7bfeb52","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","71aae327-7bc4-456a-9935-387f89b4ab21","mlb-2017-sf-mia-2017-08-14-0400","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","6c498284-84e6-4e74-9f56-b934be3384d5","San Francisco","San Francisco","Giants","SF","regularseason",8,0,"top",8,3,11,"83","38","win","loss",FALSE,"2017-08-15 04:10:00+00",8,3,1
441,"81","9b6f6a41-9b89-46ff-b899-9596307de9f5","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","9b6f6a41-9b89-46ff-b899-9596307de9f5","mlb-2018-mia-nym-2018-09-28-1910","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","NY Mets","New York","Mets","NYM","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","regularseason",9,30,"end",1,8,9,"18","81","loss","win",TRUE,"2018-09-29 04:10:00+00",1,8,1
